"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Ribeiro S.M.; Bógus C.M.; Watanabe H.A.W.","Ribeiro, Silvana Maria (56692261000); Bógus, Cláudia Maria (6603218140); Watanabe, Helena Akemi Wada (16403552800)","56692261000; 6603218140; 16403552800","Agroecological urban agriculture from the perspective of health promotion; [Agricultura urbana agroecológica na perspectiva da promoção da saúde]","2015","Saude e Sociedade","24","2","","730","743","22","10.1590/S0104-12902015000200026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931830727&doi=10.1590%2FS0104-12902015000200026&partnerID=40&md5=db1444da32f5e818804843a31103bb07","Universidade de São Paulo, São Paulo, SP, Brazil","Ribeiro S.M., Universidade de São Paulo, São Paulo, SP, Brazil; Bógus C.M., Universidade de São Paulo, São Paulo, SP, Brazil; Watanabe H.A.W., Universidade de São Paulo, São Paulo, SP, Brazil","Urban agriculture has been the subject of many research in Brazil and worldwide, mainly concerning the employment and income generation. This article aims to systematize the experience of the project “Colhendo Sustentabilidade: práticas comunitárias de segurança alimentar e agricultura urbana” [Achieving Sustainability: community practices of food security and urban agriculture] (PCS), held in Embu das Artes, São Paulo metropolitan region, between 2008 and 2011, analyzing it from the perspective of Health Promotion (HP). The participants of the research were the public services technicians and technical team members involved in the project. The data were obtained by conducting three workshops of systematization, followed by another in which the results were presented to the participants, and also by interviews with key informants. The same data were analyzed based on the action principles and fields of HP. The findings presented agroecological urban agriculture (AUA) as a tool for health promotion due to its contribution to the strengthening of individual and community leadership, empowerment, creation of conducive environments for health, as well as its potential for “knowledge” multiplication, by those involved in topics related to income generation, health and environment. © 2015 UNIV SAOPAULO. All rights reserved.","Agroecology; Food and nutritional security; Health promotion; Urban agriculture","","H.A.W. Watanabe; São Paulo, Av Dr Arnaldo, 715, Brazil; email: hwatanab@usp.br","","UNIV SAOPAULO","01041290","","","","English","Saude e Sociedade","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84931830727"
"de Lima J.A.; de Souza E.P.","de Lima, Juaceli Araújo (56779622300); de Souza, Enio Pereira (57211333335)","56779622300; 57211333335","Sustainability assessment in hybrid solar and wind; [Avaliação da sustentabilidade na geração híbrida solar e eólica]","2015","Espacios","36","15","","11","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939193629&partnerID=40&md5=d4ea8586be6cb070e4a7e46e33351fa1","Universidade Federal de Campina Grande, PB, Brazil","de Lima J.A., Universidade Federal de Campina Grande, PB, Brazil; de Souza E.P., Universidade Federal de Campina Grande, PB, Brazil","Electricity has become since the early twentieth century a great facilitator of the level of quality of life of a population, a leading indicator of economic development of a society, leading to considerable growth in the level of industrial, commercial and industry services. From this perspective the global growth is linked to energy consumption, and at the end of the 60s, begins a process of concern to the Brazilian energy matrix context mainly by the growing climate and environmental changes which we are subject due to technological growth. In this sense this paper aims to present the solar and wind hybrid generation, as sustainable proposal for the composition of the Brazilian energy matrix, contextualizing internationally, enabling mechanisms of hybrid systems, through a literature study, arguing, as this system could contribute to the Brazilian electrical system, strengthening the model of energy management in a sustainable way, pointing out the challenges of energy systems to developing countries, identifying technologies that address the storage problems of hybrid systems, as a contribution in integration renewable sources.","Energy matrix; Energy system; Hybrid generation; Renewable energy; Sustainability","","","","Revista Espacios","07981015","","","","Portuguese","Espacios","Article","Final","","Scopus","2-s2.0-84939193629"
"Torrez M.N.","Torrez, Milta Neide Freire Barron (6602177313)","6602177313","Developing a sustainability network for the implementation of National Curricular Guidelines of the Graduation Course in Nursing; [Construindo uma rede de sustentabilidade da implantação das Diretrizes Curriculares Nacionais do Curso de Graduação em Enfermagem.]","2003","Revista brasileira de enfermagem","56","4","","333","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542571427&partnerID=40&md5=df3ef36206adf69670289768fb5bbc1d","","","[No abstract available]","","Brazil; Curriculum; Education, Nursing; Guidelines; Brazil; curriculum; editorial; nursing education; organization and management; practice guideline","","","","00347167","","","14699745","Portuguese","Rev Bras Enferm","Editorial","Final","","Scopus","2-s2.0-1542571427"
"Bezerra A.S.; De Freitas L.S.","Bezerra, Adriana dos Santos (57189254631); De Freitas, Lúcia Santana (56485379600)","57189254631; 56485379600","Performance of reverse logistics and sustainability: Reflections on the performance measurement models; [Desempenho da logística reversa e sustentabilidade: Reflexões sobre os modelos de avaliação de desempenho]","2016","Espacios","37","8","","22","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966708451&partnerID=40&md5=0876a9594357f968ccb54b475fb1d3de","Universidade Federal de Campina Grande, UFCG/PB, Brazil; Unidade Acadêmica de Administração e Contabilidade, Universidade Federal Campina Grande, UFCG/PB, Brazil","Bezerra A.S., Universidade Federal de Campina Grande, UFCG/PB, Brazil; De Freitas L.S., Unidade Acadêmica de Administração e Contabilidade, Universidade Federal Campina Grande, UFCG/PB, Brazil","This study has aimed to analyze the evolution of performance evaluation models of the reverse logistics regarding to the incorporation of sustainability principles, specifically, economic, social and environmental dimensions. Moreover, a wide bibliographic research was set, related to the various performance evaluation models of reverse logistics in which it became possible to point that the direction given to many evaluation models of the LR performance reflects a slow and incipient evolution in the pursuit of sustainability where only the economic dimension has been pursued in these various models.","Performance measurement; Reverse logistics; Sustainability","","","","Revista Espacios","07981015","","","","Portuguese","Espacios","Article","Final","","Scopus","2-s2.0-84966708451"
"Paulista G.; Varvakis G.; Filho G.M.","Paulista, Geralda (25031993100); Varvakis, Gregório (21744447400); Filho, Gilberto Montibeller (25031471400)","25031993100; 21744447400; 25031471400","Emotional space and sustainability indicators; [Espaço emocional e indicadores de sustentabilidade]","2008","Ambiente e Sociedade","11","1","","185","200","8","10.1590/s1414-753x2008000100013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52949105311&doi=10.1590%2Fs1414-753x2008000100013&partnerID=40&md5=58d3d9f730a9b63b1563c0b077ab4d2f","Concelho de Desenvolvimento Cientifíco e Tecnológico -CNPq, Programa de Pós-Graduação em Engenharia e Gestão do Conhecimento - PPEGC, Universidade Federal de Santa Catarina - UFSC, 88040.970 Florianopolis, SC, Brazil; Programa de Pós-Graduação em Engenharia e Gestão do Conhecimento - PPEGC, Universidade Federal de Santa Catarina - UFSC, 88040.970 Florianopolis, SC, Brazil; Programa de Pós-Graduação em Ciências Ambientais, Universidade do Extremo Sul Catarinense - UNESC, Brazil","Paulista G., Concelho de Desenvolvimento Cientifíco e Tecnológico -CNPq, Programa de Pós-Graduação em Engenharia e Gestão do Conhecimento - PPEGC, Universidade Federal de Santa Catarina - UFSC, 88040.970 Florianopolis, SC, Brazil; Varvakis G., Programa de Pós-Graduação em Engenharia e Gestão do Conhecimento - PPEGC, Universidade Federal de Santa Catarina - UFSC, 88040.970 Florianopolis, SC, Brazil; Filho G.M., Programa de Pós-Graduação em Ciências Ambientais, Universidade do Extremo Sul Catarinense - UNESC, Brazil","The complexity of sustainable development is related to the connectivity of complex subsystems - or sustainable dimensions - such as environment, economy, society, governmental systems and individuals. The psychological dimension lacks good indicators. This article proposes the Losada Line (positivity/negativity ratio) as a psychological indicator for sustainable development. This measure is based on complexity theory, nonlinear dynamics and the mathematical-psychological model of Meta Learning.","Losada Line; Meta Learning; Positivity/negativity ratio; Psychological indicators; Sustainable development","","G. Paulista; Programa de Pós-Graduação em Engenharia e Gestão do Conhecimento - PPEGC, Centro Tecnológico - CTC, Universidade Federal de Santa Catarina - UFSC, 88040.970 Florianopolis, SC, Brazil; email: geraldapaulista@gmail.com","","Universidade Estadual de Campinas","1414753X","","","","Portuguese","Ambient. Soc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-52949105311"
"Eurich J.; Neto P.H.W.; Rocha C.H.","Eurich, Joelcio (55851212500); Neto, Pedro Henrique Weirich (25825527400); Rocha, Carlos Hugo (24382079700)","55851212500; 25825527400; 24382079700","Emergy sustainability indices of a family-based dairy farm in palmeira, paraná, brazil; [Índices emergéticos de sustentabilidade da produção leiteira em uma propriedade de base familiar em Palmeira, Paraná, Brasil]","2013","Revista Ceres","60","3","","332","338","2","10.1590/S0034-737X2013000300005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883748450&doi=10.1590%2FS0034-737X2013000300005&partnerID=40&md5=4e7ef9084dc70cdf6e141a268456e175","Departamento de Solos e Engenharia Agrícola, Universidade Estadual de Ponta Grossa, 84030-900, Ponta Grossa, Paraná, Avenida General Carlos Cavalcanti, 4748, Brazil","Eurich J., Departamento de Solos e Engenharia Agrícola, Universidade Estadual de Ponta Grossa, 84030-900, Ponta Grossa, Paraná, Avenida General Carlos Cavalcanti, 4748, Brazil; Neto P.H.W., Departamento de Solos e Engenharia Agrícola, Universidade Estadual de Ponta Grossa, 84030-900, Ponta Grossa, Paraná, Avenida General Carlos Cavalcanti, 4748, Brazil; Rocha C.H., Departamento de Solos e Engenharia Agrícola, Universidade Estadual de Ponta Grossa, 84030-900, Ponta Grossa, Paraná, Avenida General Carlos Cavalcanti, 4748, Brazil","In the search for sustainability, parameters or indices are basic tools for monitoring the management of the processes. Therefore this study aimed to calculate emergy indices for assessing the sustainability of dairy production in a family-based farm. For this study we evaluated a rural property located in the city of Palmeira, Paraná, Brazil. Based on the data collected in the dairy farm, we calculated the net emergy yield ratio (EYR), emergy investment ratio (EIR), environmental load (ELR), emergy exchange ratio (EER), renewability (% R) , simple economic profitability (RES) and the sustainability index (SI). Based on the methods of emergy analysis, we found the following values: EYR = 1.33; EIR = 3.05; ELR = 3.15; EER = 1.71% R = 24, SI = 0.42, Re = 0.12. These indices show that although economically viable, RES = 0.12, in energy terms the property has a low sustainability index (SI) which implies the unsustainability of the production system.","Emergy; Family agriculture; sustainable development","","J. Eurich; Departamento de Solos e Engenharia AgrÍcola, Universidade Estadual de Ponta Grossa, 84030-900, Ponta Grossa, Paraná, Avenida General Carlos Cavalcanti, 4748, Brazil; email: joe.eurich@gmail.com","","","21773491","","","","Portuguese","Rev. Ceres","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84883748450"
"Zamcopé F.C.; Ensslin L.; Ensslin S.R.","Zamcopé, Fábio Cristiano (36983207500); Ensslin, Leonardo (6506629348); Ensslin, Sandra Rolim (26431986900)","36983207500; 6506629348; 26431986900","Development of a model for corporate sustainability assesment; [Desenvolvimento de um modelo para avaliar a sustentabilidade corporativa]","2012","Producao","22","3","","477","489","4","10.1590/S0103-65132012005000048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867837372&doi=10.1590%2FS0103-65132012005000048&partnerID=40&md5=ddaedfd0e81d82218bcdd6be4fc8b854","UFSC, Brazil","Zamcopé F.C., UFSC, Brazil; Ensslin L., UFSC, Brazil; Ensslin S.R., UFSC, Brazil","This paper introduces the development of an assessment model for corporate sustainability, which was built based on the system of values, concerns and preferences of decision makers from a textile factory. The Multi-criteria for Decision Aid - Constructivist (MCDA-C) methodology was used, enabling to identify a set of performance indicators that features the company's sustainability and to measure the degree of properties range considered by the organization about its commitment to sustainability. The model allowed decision makers to understand the key sustainability issues and actions needed to resolve them, and provide performance measurement and evaluation of progress toward continuous improvement. Among the actions generated by the model, there are the creation of a committee of sustainability, strategic planning review, strengthening of communication channels and awareness programs for employees, suppliers and others involved.","Corporate sustainability; Decision aid; MCDA-C; Performance assessment","","F.C. Zamcopé; UFSC, Florianópolis, SC, Brazil; email: fabio@deps.ufsc.br","","Associacao Brasileira de Engenharia de Producao","01036513","","","","Portuguese","Producao","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84867837372"
"Magalhães V.L.; Da Cunha J.E.","Magalhães, Vanderlei Leopold (25522175900); Da Cunha, José Edézio (57211173317)","25522175900; 57211173317","Soil as base of agricultural sustainability study case in the municipality of Marechal Cândido Rondon-PR; [O solo como base da sustentabilidade agrícola: estudo de caso no município de Marechal Cândido Rondon-PR]","2006","RA'E GA - O Espaco Geografico em Analise","10","12","","179","193","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-54249136493&partnerID=40&md5=f892a4f758ae8d728a5233d8830fd271","Universidade Estadual de Maringá; Departamento de Geografia, Universidade Estadual do Oeste do Paraná, Campus de Marechal Cândido Rondon","Magalhães V.L., Universidade Estadual de Maringá; Da Cunha J.E., Departamento de Geografia, Universidade Estadual do Oeste do Paraná, Campus de Marechal Cândido Rondon","The soil degradation is one of the most serious environmental problems that have been faced by the current society. For soil science researchers, information about the morphological properties are essential even for the most suitable use of its agricultural potentialities as for the urban and rural planning of the municipalities. In this perception, this study has aimed to understand the effects of the process of settlement on the development of agricultural productive systems in Marechal Cândido Rondon at the west of Paraná State. Although the locality has its economical activities based on the agricultural sector, this study demonstrated that the local population keeps forgetting that the soil is part of the environment and it's essential for life existence. In other words, it is a natural resource to be treasured for the benefit of the regional development.","Colonization; Soil conservation; Soil use","Brazil; Marechal Candido Rondon; Parana; South America; alternative agriculture; economic activity; resource use; soil conservation; soil degradation","V. L. Magalhães; Universidade Estadual de Maringá, Brazil; email: geozebuscape@hotmail.com","","","15164136","","","","Portuguese","RA'E GA Espaco Geogr. Anal.","Article","Final","","Scopus","2-s2.0-54249136493"
"Cavalcanti C.","Cavalcanti, Clóvis (36872072900)","36872072900","Sustentabilidade, Escala ótima da economia, Limites ecológicos, Modelo extrair-produzir-descartar","2012","Estudos Avancados","26","74","","35","50","13","10.1590/S0103-40142012000100004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865333673&doi=10.1590%2FS0103-40142012000100004&partnerID=40&md5=980b47b7b44281b5d07d11d38daa050b","Fundaçao Joaquim Nabuco, Universidade Federal de Pernambuco, Brazil","Cavalcanti C., Fundaçao Joaquim Nabuco, Universidade Federal de Pernambuco, Brazil","What is the optimum scale of the economy compatible with nature? This question asks for consideration of the economy as a subsystem of the ecosystem. Ecological economics adopts that perspective permitting that the concept of environmental sustainability be established. This implies that the environmental impact of growth on the source and sink functions of nature be contained within limits. The usual notion of sustainability, however, gives the impression of having been transformed into a kind of today's mantra, without serious obligations. Changes in the economic system are unavoidable as a means of adaptation to the restrictions that the economic process encounters. This requires knowing what it is to be sustained and in within which time scale. The duty of choosing the changes to be made must be ascribed to society: a moral choice.","Ecological limits; Extraction-production-discarding model; Optimum scale of the economy; Sustainability","","C. Cavalcanti; Fundação Joaquim Nabuco, Universidade Federal de Pernambuco, Brazil; email: clovati@fundaj.gov.br","","","18069592","","","","Portuguese","Estud. Av.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84865333673"
"Filho S.R.; Juliani A.J.","Filho, Saulo Rodrigues (6602383072); Juliani, Antonio José (55836150200)","6602383072; 55836150200","Sustentabilidade da produção de etanol de cana-de-açúcar no Estado de São Paulo","2013","Estudos Avancados","27","78","","195","212","4","10.1590/S0103-40142013000200013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883026576&doi=10.1590%2FS0103-40142013000200013&partnerID=40&md5=ced8d7c12a2e2bdf64fd344f9b516c7e","Desenvolvimento Sustentável (CDS), Universidade de Brasília (UnB), Brazil","Filho S.R., Desenvolvimento Sustentável (CDS), Universidade de Brasília (UnB), Brazil; Juliani A.J., Desenvolvimento Sustentável (CDS), Universidade de Brasília (UnB), Brazil","This article aims to evaluate the environmental sustainability of municipalities involved in the cultivation of sugar cane in the state of São Paulo, in the corresponding period of the 2007/2008 season. It is intended to contribute to researches on the subject, which are important for establishing public policies for the environmental management of natural resources in Brazil. The methodology involves building a Sustainability Assessment System (SAS) composed of indicators of socioeconomic and environmental dimensions of the 306 municipalities with the area planted with sugar cane over 5,000 hectares. The text shows that municipalities that invest in practices and effective instruments for environmental management are the ones with the best performance.","Environmental management; Environmental sustainability; Public policy; Sugar cane","","S.R. Filho; Desenvolvimento Sustentável (CDS), Universidade de Brasília (UnB), Brazil; email: srodrigues@unb.br","","","18069592","","","","Portuguese","Estud. Av.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84883026576"
"dos Santos M.P.N.","dos Santos, Marco Pais Neves (56358147200)","56358147200","New dynamics of urban sustainability in areas of poverty and social exclusion : The case of Cova da Moura; [As novas dinâmicas da sustentabilidade urbana em territórios de pobreza e exclus ão social : O caso da Cova da Moura]","2014","Revista INVI","29","81","","891","897","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907157151&partnerID=40&md5=350f24051989fbeeb3be7fdde075956f","Institute of Construction and Real Estate (InCI), Portugal","dos Santos M.P.N., Institute of Construction and Real Estate (InCI), Portugal","During the second half of the twentieth century, migration flows concentrated in the outskirts of Lisbon resulted in a housing shortage that neither the social housing provided by the State nor the private housing market was able to solve in terms of quality and quantity. The arrival of immigrants and returnees following the independence of Portuguese-speaking countries in 1975/76 further aggravated this shortage. These migration flows led to the development of a series of uncontrolled and unsustainable neighborhoods formed by slums and illegal houses, one example being the Cova da Moura at the municipality of Amadora. Like other similar neighborhoods, Cova da Moura saw the emergence of a series of social problems such as crime, poverty, social exclusion and shortcomings in the fields of education, health, hygiene and nutrition. This paper emphasizes the work carried out by the Youth Mill Cultural Association (ACMJ) in defending and representing the community, where several projects aimed at promoting the social, economic and environmental sustainability of the neighborhood have been implemented over the last years. It is also demonstrated that a specialized tourist market (co-ethnic) can turn an isolated and marginalized area into a space that is appreciated for its sociocultural, culinary and medicinal values. © 2014 Instituto de la Vivienda. All rights reserved.","Cova da moura; Poverty and exclusion; Social and educational integration; Urban sustainability","","","","Universidad de Chile, Instituto de la Vivienda","07181299","","","","English","Rev. INVI","Article","Final","","Scopus","2-s2.0-84907157151"
"Campos L.C.M.","Campos, Luiz Claudio Marques (54940725500)","54940725500","NGOS/AIDS: Access to public funds and the sustainability of actions; [ONGS/AIDS: Acesso a fundos públicos e sustentabilidade de ações]","2008","RAE Revista de Administracao de Empresas","48","3","","81","93","3","10.1590/S0034-75902008000300008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856453299&doi=10.1590%2FS0034-75902008000300008&partnerID=40&md5=1f563286e510106b5f62db39eb47984a","Administraçao Pública e Governo pela, Escola de Administração de Empresas de São Paulo, Fundação Getulio Vargas, Brazil","Campos L.C.M., Administraçao Pública e Governo pela, Escola de Administração de Empresas de São Paulo, Fundação Getulio Vargas, Brazil","This paper reflects on the institutional mechanisms that are employed for passing on federal funds to non-governmental organizations (NGOs) on a regular basis, when they are considered as being the executors of public policies. Starting from a theoretical reference point that analyses the relationship between the Government and NGOs in the provision of public services and the creation of the Single Health System (SUS) the contractual system of the national policy for fighting HIV/Aids, which was implemented by the initially centralized National STD/Aids Program and which over the last few years has involved states and municipalities in a more intense way, is described. The paper compares the centralized and decentralized systems and indicates the difficulties encountered in this transition. Documents were analyzed that set out the rules for the passing on of funds to NGOs under the Government's HIV/Aids policy and federal managers and members of NGOs were interviewed. The conclusion reached is that the federal model has institutionalized the support for NGO projects and that this system entered a new phase that started with decentralization.","Decentralization; Grants; HIV/Aids; Non-governmental organizations; Public funding","","L.C.M. Campos; Administração Pública e Governo pela, Escola de Administração de Empresas de São Paulo, Fundação Getulio Vargas, Brazil; email: luizclaudiocampos@uol.com.br","","Fundacao Getulio Vargas","00347590","","","","Portuguese","RAE Rev. Adm. Empresas","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84856453299"
"Soares A.B.; Da Silva Filho J.C.L.; De Abreu M.C.S.; De Assis Soares F.","Soares, Andressa Bezerra (54407508200); Da Silva Filho, José Carlos Lázaro (57193417137); De Abreu, Monica Cavalcanti Sá (24390508600); De Assis Soares, Francisco (54406665500)","54407508200; 57193417137; 24390508600; 54406665500","Reviewing the dpsir structuring model underpinning a support system for the sustainability of hydrographic basins; [Revisando a estruturação do modelo dpsir como base para um sistema de apoio à decisão para a sustentabilidade de bacias hidrográficas]","2011","Revista em Agronegocio e Meio Ambiente","4","3","","521","545","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82155167016&partnerID=40&md5=f1bee6d254bc21d61cc249f07c58b660","Graduação em Engenharia Civil Pela Universidade Federal Do Ceará -UFC, Mestre em Controladoria Pela Universidade Federal Do Ceará -UFC, Brazil; Planejamento Ambiental Pela Technische Universität-Berlin (Alemanha), Mestre em Administração Na Área de Gestão de C and T Pelo, PPGA da Universidade Federal Do Rio Grande Do sul -UFRGS, Brazil; Engenharia de Produção Pela Universidade Federal de Santa Catarina -UFSC, Docente Adjunto IV da Universidade Federal Do Ceará -UFC, Mestre em Tecn. de Processos Quimicos e Bioquimicos Pela Univ. Federal Do Rio de Janeiro -UFRJ, Bolsista Produtividade, Brazil; Mestre em Economia Pela Universidade Federal Do Ceará -UFC, Docente Do Curso de Mestrado Profissional em Controladoria da Universidade Federal Do Ceara -UFC, Pesquisador Do Programa de Pos-Graduacao em Economia da Universidade Federal Do Ceara -UFC, Brazil","Soares A.B., Graduação em Engenharia Civil Pela Universidade Federal Do Ceará -UFC, Mestre em Controladoria Pela Universidade Federal Do Ceará -UFC, Brazil; Da Silva Filho J.C.L., Planejamento Ambiental Pela Technische Universität-Berlin (Alemanha), Mestre em Administração Na Área de Gestão de C and T Pelo, PPGA da Universidade Federal Do Rio Grande Do sul -UFRGS, Brazil; De Abreu M.C.S., Engenharia de Produção Pela Universidade Federal de Santa Catarina -UFSC, Docente Adjunto IV da Universidade Federal Do Ceará -UFC, Mestre em Tecn. de Processos Quimicos e Bioquimicos Pela Univ. Federal Do Rio de Janeiro -UFRJ, Bolsista Produtividade, Brazil; De Assis Soares F., Mestre em Economia Pela Universidade Federal Do Ceará -UFC, Docente Do Curso de Mestrado Profissional em Controladoria da Universidade Federal Do Ceara -UFC, Pesquisador Do Programa de Pos-Graduacao em Economia da Universidade Federal Do Ceara -UFC, Brazil","Current theoretical essay reviews the structures of the DPSIR model (Driving Forces, Pressures, State, Impact and Response), established by the European Environmental Agency (EEA) and adopted by the Water Framework Directive (WFD) of the European Union (EU), to improve the management process of hydrographic basins. The model comprises the concept of broad sustainability underpinned by environment, economy and society, precisely one of the central discussion (decision process) issues of hydrographic basins management.","DPSIR; Hydrographic Basins; Sustainability Indexes","","A.B. Soares; Graduação em Engenharia Civil Pela Universidade Federal Do Ceará -UFC, Mestre em Controladoria Pela Universidade Federal Do Ceará -UFC, Brazil; email: andressa@cagece.com.br","","","21769168","","","","Portuguese","Rev. Agronegocio Meio Ambiente","Article","Final","","Scopus","2-s2.0-82155167016"
"Siche R.; Agostinho F.; Ortega E.; Romeiro A.","Siche, Raúl (22987015000); Agostinho, Feni (22984283900); Ortega, Enrique (9839187400); Romeiro, Ademar (23568707200)","22987015000; 22984283900; 9839187400; 23568707200","Indices versus indicators: Conceptual precisions in the sustainability discussion of countries; [Índices versus indicadores: Precisões conceituais na discussão da sustentabilidade de países]","2007","Ambiente e Sociedade","10","2","","137","148","42","10.1590/s1414-753x2007000200009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44449097116&doi=10.1590%2Fs1414-753x2007000200009&partnerID=40&md5=9bf4bdbb7590b4eaf1e5bea4eebe27e7","Faculdade de Ciências Agropecuárias, Universidade Nacional de Trujillo, Trujillo, Peru; Laboratorio de Engenharia Ecologica e Informatica Aplicada, DEA, UNICAMP, 13083-862 Campinas, SP, CP 6121, Brazil; Núcleo de Economia Agrícola-NEA, UNICAMP, Campinas, SP, Brazil","Siche R., Faculdade de Ciências Agropecuárias, Universidade Nacional de Trujillo, Trujillo, Peru, Laboratorio de Engenharia Ecologica e Informatica Aplicada, DEA, UNICAMP, 13083-862 Campinas, SP, CP 6121, Brazil; Agostinho F., Laboratorio de Engenharia Ecologica e Informatica Aplicada, DEA, UNICAMP, 13083-862 Campinas, SP, CP 6121, Brazil; Ortega E., Laboratorio de Engenharia Ecologica e Informatica Aplicada, DEA, UNICAMP, 13083-862 Campinas, SP, CP 6121, Brazil; Romeiro A., Núcleo de Economia Agrícola-NEA, UNICAMP, Campinas, SP, Brazil","Nowadays, sustainable development is one of the most important challenges to be confronted by all countries on the globe. The aim is to obtain economic increase without causing damage to the natural capital and maintain peoples well being. In order to diagnose the development of the countries, many tools with different approaches can be used, all of them supplying performance indices as a final result. However, indices and indicators have been misused in most published works, and as a result, there has been an incoherent discussion about their true meaning. In this way, the present work discusses and tries to clarify the meaning of words associated with sustainability, considering as examples three indices that are much used to diagnose the development of the countries: Environmental sustainability index; Ecological footprint; Emergy performance index. © 2008 ANPPAS - UNICAMP.","Ecological footprint; Emergy; Indicators; Indices; Sustainability","","R. Siche; Laboratorio de Engenharia Ecologica e Informatica Aplicada, FEA, UNICAMP, 13083-862 Campinas, SP, CP 6121, Brazil; email: siche.j.r@gmail.com","","Universidade Estadual de Campinas","1414753X","","","","Portuguese","Ambient. Soc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-44449097116"
"Trindade P.C.; Silva A.V.","Trindade, Paula Cristiane (57188852746); Silva, Almir Vieira (12040513000)","57188852746; 12040513000","Evaluation of dairy farming through sustainability indices in rural settlements of Eldorado dos Carajás, Para State; [AvaliaçãO Da atividade leiteira através de índices de sustentabilidade em assentamentos rurais de eldorado dos carajás, estado do pará]","2015","Acta Veterinaria Brasilica","9","2","","141","147","1","10.21708/avb.2015.9.2.4841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963856275&doi=10.21708%2Favb.2015.9.2.4841&partnerID=40&md5=24efae7ed7e9e10e29d2f2a2efb683a6","Universidade Federal de Viçosa-UFV/MG, Brazil; Universidade Federal Rural da Amazônia-UFRA/Pará, Brazil","Trindade P.C., Universidade Federal de Viçosa-UFV/MG, Brazil; Silva A.V., Universidade Federal Rural da Amazônia-UFRA/Pará, Brazil","It was aimed in this study the evaluation of 147 units of dairy farming distributed in nine rural settlements in Eldorado dos Carajas, Para state, Brazil, in order to determine the factors influencing the dairy activity in the region. The variables were submitted to multivariate statistical FA/PCA. The consistency of the data was verified by the determination of the commonalities, which presented values above 0.59. In addition, it was calculated a sustainable index of the activity that permitted the classification of properties as well as the rural settlements studied. A high level of unsustainable properties (52%) was observed, indicating that the national Agrarian Reform Program is not being accompanied by technical training programs, does not stimulate a good sense of responsibility for small farmers and does not follow essential norms for food that aims ensure the safety of foods produced in sustainable environments.","Family agriculture; Index of sustainability; Principal components analysis","","P.C. Trindade; Universidade Federal de Viçosa-UFV/MG, Brazil; email: paula.c.trindade@ufv.br","","Universidade Federal Rural do Semi-Arido","19815484","","","","Portuguese","Acta Vet. Bras.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84963856275"
