"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Alzakwani, M.H.H.; Mohamed Zabri, S.M.; Ali, R.R.","Alzakwani, Mujahid Hamood Hilal (59534192500); Mohamed Zabri, Shafie (56940656600); Ali, Rabei Raad (57200536163)","59534192500; 56940656600; 57200536163","Enhancing university teaching and learning through integration of artificial intelligence in information and communication technology","2025","Edelweiss Applied Science and Technology","9","1","","1345","1357","2","10.55214/25768484.v9i1.4647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218060786&doi=10.55214%2F25768484.v9i1.4647&partnerID=40&md5=03f71e6d8f34abf2f1f119df46e350bc","Faculty of Technology Management and Business, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia; Technical Engineering College for Computer and AI, Northern Technical University, Mosul, Nineveh, Iraq","Alzakwani, Mujahid Hamood Hilal, Faculty of Technology Management and Business, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia; Mohamed Zabri, Shafie, Faculty of Technology Management and Business, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Malaysia; Ali, Rabei Raad, Technical Engineering College for Computer and AI, Northern Technical University, Mosul, Nineveh, Iraq","AI-powered systems; Artificial Intelligence (AI); Information and communications technology (ICT); Teaching and learning","Learning Gate","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218060786"
"Suprapto, N.; Hidaayatullaah, H.N.; Arymbekov, B.; Hakim, S.R.; Yulkifli, Y.","Suprapto, Nadi (57163917500); Hidaayatullaah, H. N. (57217176216); Arymbekov, Beken S. (55440914200); Hakim, Septian Rahman (57214705909); Yulkifli, Yulkifli (36005049600)","57163917500; 57217176216; 55440914200; 57214705909; 36005049600","Indonesian preservice teachers’ attitudes toward using ChatGPT: A structural equation model","2025","Multidisciplinary Science Journal","7","7","e2025326","","","0","10.31893/multiscience.2025326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217971386&doi=10.31893%2Fmultiscience.2025326&partnerID=40&md5=0a3aefb0223f08ce7fff94467cd9aa6a","Universitas Negeri Surabaya, Surabaya, East Java, Indonesia; Al Farabi Kazakh National University, Almaty, Kazakhstan; Universitas Negeri Yogyakarta, Yogyakarta, Yogyakarta, Indonesia; Universitas Negeri Padang, Padang, West Sumatra, Indonesia","Suprapto, Nadi, Universitas Negeri Surabaya, Surabaya, East Java, Indonesia; Hidaayatullaah, H. N., Universitas Negeri Surabaya, Surabaya, East Java, Indonesia; Arymbekov, Beken S., Al Farabi Kazakh National University, Almaty, Kazakhstan; Hakim, Septian Rahman, Universitas Negeri Yogyakarta, Yogyakarta, Yogyakarta, Indonesia; Yulkifli, Yulkifli, Universitas Negeri Padang, Padang, West Sumatra, Indonesia","ChatGPT; preservice teachers; structural equation modeling (SEM)","Malque Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217971386"
"Muniisvaran, K.; Jose, F.T.; Kartheges, P.; Anusia, K.","Muniisvaran, K. (59541106300); Jose, Franklin Thambi (57487745400); Kartheges, P. (59541539700); Anusia, K. (59540962400)","59541106300; 57487745400; 59541539700; 59540962400","Technology-enhanced learning in higher education institutions in Malaysia","2025","International Journal of Advanced and Applied Sciences","12","1","","220","225","1","10.21833/ijaas.2025.01.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216868254&doi=10.21833%2Fijaas.2025.01.021&partnerID=40&md5=b23c41aeb760bdde00dc93f6cf6aa983","Faculty of Languages and Communication, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia","Muniisvaran, K., Faculty of Languages and Communication, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia; Jose, Franklin Thambi, Faculty of Languages and Communication, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia; Kartheges, P., Faculty of Languages and Communication, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia; Anusia, K., Faculty of Languages and Communication, Universiti Pendidikan Sultan Idris, Tanjong Malim, Perak, Malaysia","Active learning strategies; Higher education; Learning engagement; Smart devices; Technology-enhanced learning","Institute of Advanced Science Extension (IASE)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85216868254"
"Kacperski, C.; Ulloa, R.; Bonnay, D.; Kulshrestha, J.; Selb, P.; Spitz, A.","Kacperski, Celina Sylwia (57188835435); Ulloa, Roberto (57223296042); Bonnay, Denis (23975730200); Kulshrestha, Juhi (50262236000); Selb, Peter L. (23052584700); Spitz, Andreas (57191328145)","57188835435; 57223296042; 23975730200; 50262236000; 23052584700; 57191328145","Characteristics of ChatGPT users from Germany: Implications for the digital divide from web tracking data","2025","PLoS ONE","20","1","e0309047","","","15","10.1371/journal.pone.0309047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215385607&doi=10.1371%2Fjournal.pone.0309047&partnerID=40&md5=9001a1798ae43f11f40ba9cdd59e363f","Universität Konstanz, Konstanz, Baden-Wurttemberg, Germany; Privatuniversität Schloss Seeburg, Seekirchen, Salzburg, Austria; Leibniz Institute for the Social Sciences GESIS, Mannheim, Baden-Wurttemberg, Germany; Department of Philosophy, Université Paris Nanterre, Nanterre, Ile-de-France, France; Department of Computer Science, Aalto University, Espoo, Uusimaa, Finland; Department of Computer and Information Science, Universität Konstanz, Konstanz, Baden-Wurttemberg, Germany","Kacperski, Celina Sylwia, Universität Konstanz, Konstanz, Baden-Wurttemberg, Germany, Privatuniversität Schloss Seeburg, Seekirchen, Salzburg, Austria; Ulloa, Roberto, Universität Konstanz, Konstanz, Baden-Wurttemberg, Germany, Leibniz Institute for the Social Sciences GESIS, Mannheim, Baden-Wurttemberg, Germany; Bonnay, Denis, Department of Philosophy, Université Paris Nanterre, Nanterre, Ile-de-France, France; Kulshrestha, Juhi, Department of Computer Science, Aalto University, Espoo, Uusimaa, Finland; Selb, Peter L., Universität Konstanz, Konstanz, Baden-Wurttemberg, Germany; Spitz, Andreas, Department of Computer and Information Science, Universität Konstanz, Konstanz, Baden-Wurttemberg, Germany","","Public Library of Science","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85215385607"
"Ajalo, E.; Mukunya, D.; Nantale, R.; Kayemba, F.; Pangholi, K.; Babuya, J.; Akuu, S.L.; Namiiro, A.M.; Nsubuga, Y.B.; Mpagi, J.L.; Musaba, M.W.; Oguttu, F.; Kuteesa, J.; Mubuuke, A.G.; Munabi, I.G.; Kiguli, S.","Ajalo, Elizabeth (58697230500); Mukunya, David M. (6505798232); Nantale, Ritah (57968793300); Kayemba, Frank (59508112200); Pangholi, Kennedy (58663964100); Babuya, Jonathan (58546278600); Akuu, Suzan Langoya (59508279900); Namiiro, Amelia Margaret (58190866200); Nsubuga, Yakobo Baddokwaya (59160781300); Mpagi, Joseph Luwaga (57219181263); Musaba, Milton W. (57193380912); Oguttu, Faith (58530714600); Kuteesa, Job (56971502500); Mubuuke, Aloysius Gonzaga (26030540500); Munabi, Ian Guyton (16744323400); Kiguli, Sarah (15051841700)","58697230500; 6505798232; 57968793300; 59508112200; 58663964100; 58546278600; 59508279900; 58190866200; 59160781300; 57219181263; 57193380912; 58530714600; 56971502500; 26030540500; 16744323400; 15051841700","Widespread use of ChatGPT and other Artificial Intelligence tools among medical students in Uganda: A cross-sectional study","2025","PLoS ONE","20","1 January","e0313776","","","6","10.1371/journal.pone.0313776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214557892&doi=10.1371%2Fjournal.pone.0313776&partnerID=40&md5=d1c63668799bed5dc3b26f7054a13500","Department of Community and Public Health, Busitema University, Tororo, Uganda; Mbarara University of Science and Technology, Mbarara, Uganda; Department of Pediatrics and Child Health, Makerere University College of Health Sciences, Kampala, Uganda; Faculty of Health Sciences, Gulu University, Gulu, Uganda; Department of Microbiology and Immunology, Busitema University, Tororo, Uganda; Department of Obstetrics and Gynecology, Busitema University, Tororo, Uganda; Department of Surgery, Mulago Hospital, Kampala, Uganda; Department of Radiology, School of Medicine, Makerere University College of Health Sciences, Kampala, Uganda; Department of Human Anatomy, Makerere University College of Health Sciences, Kampala, Uganda","Ajalo, Elizabeth, Department of Community and Public Health, Busitema University, Tororo, Uganda; Mukunya, David M., Department of Community and Public Health, Busitema University, Tororo, Uganda; Nantale, Ritah, Department of Community and Public Health, Busitema University, Tororo, Uganda; Kayemba, Frank, Department of Community and Public Health, Busitema University, Tororo, Uganda; Pangholi, Kennedy, Department of Community and Public Health, Busitema University, Tororo, Uganda; Babuya, Jonathan, Department of Community and Public Health, Busitema University, Tororo, Uganda; Akuu, Suzan Langoya, Mbarara University of Science and Technology, Mbarara, Uganda; Namiiro, Amelia Margaret, Department of Pediatrics and Child Health, Makerere University College of Health Sciences, Kampala, Uganda; Nsubuga, Yakobo Baddokwaya, Faculty of Health Sciences, Gulu University, Gulu, Uganda; Mpagi, Joseph Luwaga, Department of Microbiology and Immunology, Busitema University, Tororo, Uganda; Musaba, Milton W., Department of Obstetrics and Gynecology, Busitema University, Tororo, Uganda; Oguttu, Faith, Department of Community and Public Health, Busitema University, Tororo, Uganda; Kuteesa, Job, Department of Surgery, Mulago Hospital, Kampala, Uganda; Mubuuke, Aloysius Gonzaga, Department of Radiology, School of Medicine, Makerere University College of Health Sciences, Kampala, Uganda; Munabi, Ian Guyton, Department of Human Anatomy, Makerere University College of Health Sciences, Kampala, Uganda; Kiguli, Sarah, Department of Pediatrics and Child Health, Makerere University College of Health Sciences, Kampala, Uganda","","Public Library of Science","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85214557892"
"Reddy, V.; Kathiravan, M.","Reddy, Vundela Sivakrishna (58767635000); Kathiravan, M. (57194705489)","58767635000; 57194705489","Virtual Reality Technology and Artificial Intelligence for Television and Film Animation","2025","Journal of Advanced Research in Applied Sciences and Engineering Technology","43","1","","263","273","2","10.37934/araset.43.1.263273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191486122&doi=10.37934%2Faraset.43.1.263273&partnerID=40&md5=fb54c805bdf894b2b5d6f645c0ea4a50","Computer Science & Engineering, Hindustan Institute of Technology and Science, Chennai, TN, India","Reddy, Vundela Sivakrishna, Computer Science & Engineering, Hindustan Institute of Technology and Science, Chennai, TN, India; Kathiravan, M., Computer Science & Engineering, Hindustan Institute of Technology and Science, Chennai, TN, India","3D animation; Artificial intelligence; FTA education; Television production; Virtual reality","Semarak Ilmu Publishing","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191486122"
"Quinaluisa-Narváez, K.B.; Estévez-Marín, C.E.","Quinaluisa-Narváez, Katherine Belén (60283945600); Estévez-Marín, Carlos Esteban (60285004200)","60283945600; 60285004200","Impact of artificial intelligence on special needs education","2025","Journal of Asian Scientific Research","15","4","","927","940","0","10.55493/5003.v15i4.5779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026710699&doi=10.55493%2F5003.v15i4.5779&partnerID=40&md5=7667fc520d4b7f13ba24b9734f3b3fad","Universidad Estatal de Milagro, Milagro, Guayas, Ecuador; Universidad de La Rioja, Logrono, La Rioja, Spain","Quinaluisa-Narváez, Katherine Belén, Universidad Estatal de Milagro, Milagro, Guayas, Ecuador; Estévez-Marín, Carlos Esteban, Universidad de La Rioja, Logrono, La Rioja, Spain","AI ethics; Assistive technologies; Inclusive education; Personalized learning; Teacher training","Asian Economic and Social Society","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026710699"
"Ramu, N.; Bengalur, M.D.; Choudhury, S.; Krishnapriya, V.; Rajendran, N.K.; Wani, T.A.; Chaudhary, A.","Ramu, Nyalam (59724682200); Bengalur, Megha D. (55994721900); Choudhury, Satis (56213775600); Krishnapriya, V. (59925168800); Rajendran, Naveen Kumar (58934478800); Wani, Tanveer Ahmad (57209584954); Chaudhary, Anisha (59459190900)","59724682200; 55994721900; 56213775600; 59925168800; 58934478800; 57209584954; 59459190900","Study on internalization of knowledge and its effect on online learning among university students","2025","Multidisciplinary Reviews","8","","e2025ss0105","","","0","10.31893/multirev.2025ss0105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025813656&doi=10.31893%2Fmultirev.2025ss0105&partnerID=40&md5=ae04d0d54343717a8a64fc42bffd0213","Centre for Multidisciplinary Research, Anurag University, Hyderabad, TS, India; Department of Computer Science and Engineering, Presidency University Bangalore, Bengaluru, KA, India; Department of Electrical and Electronic Engineering, Siksha O Anusandhan (Deemed to be University), Bhubaneswar, OR, India; Sathyabama Institute of Science and Technology, Chennai, TN, India; Department of Aerospace Engineering, JAIN (Deemed-to-be University), Bengaluru, KA, India; Department of Physics, Noida International University, Greater Noida, UP, India; Quantum University, Roorkee, UK, India","Ramu, Nyalam, Centre for Multidisciplinary Research, Anurag University, Hyderabad, TS, India; Bengalur, Megha D., Department of Computer Science and Engineering, Presidency University Bangalore, Bengaluru, KA, India; Choudhury, Satis, Department of Electrical and Electronic Engineering, Siksha O Anusandhan (Deemed to be University), Bhubaneswar, OR, India; Krishnapriya, V., Sathyabama Institute of Science and Technology, Chennai, TN, India; Rajendran, Naveen Kumar, Department of Aerospace Engineering, JAIN (Deemed-to-be University), Bengaluru, KA, India; Wani, Tanveer Ahmad, Department of Physics, Noida International University, Greater Noida, UP, India; Chaudhary, Anisha, Quantum University, Roorkee, UK, India","cognitive engagement; educational technology; metacognitive strategies; self-regulated learning; social and human sciences","Malque Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025813656"
"Bellas, F.J.","Bellas, Francisco J. (6603449491)","6603449491","EXPLAINABLE ARTIFICIAL INTELLIGENCE AND ITS KEY ROLE IN EDUCATION: Promoting critical thinking and autonomy in the classroom","2025","Metode","15","7","","45","50","0","10.7203/metode.15.30514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025150464&doi=10.7203%2Fmetode.15.30514&partnerID=40&md5=23ea0da8463317616503619a9982735e","Universidade da Coruña, A Coruna, A Coruña, Spain","Bellas, Francisco J., Universidade da Coruña, A Coruna, A Coruña, Spain","Artificial Intelligence Act; artificial intelligence ethics; artificial intelligence in education; critical thinking; explainable artificial intelligence","Universitat de Valencia","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105025150464"
"Raza, F.A.; Darshan Singh, A.D.; Kovilpillai, J.J.S.; Hamdan, A.; Rajaratnam, V.","Raza, Fahd Ali (59971907100); Darshan Singh, Abtar K. (58263473500); Kovilpillai, Jonathan Jeevan Strinivas (59653352500); Hamdan, Analisa (55943655400); Rajaratnam, Vaikunthan (15758253700)","59971907100; 58263473500; 59653352500; 55943655400; 15758253700","Safeguarding Integrity in AI-Enhanced Education: Stakeholder Perspectives on Accuracy, Validity, and Ethics in ASEAN","2025","European Journal of STEM Education","10","1","22","","","0","10.20897/ejsteme/17307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024553753&doi=10.20897%2Fejsteme%2F17307&partnerID=40&md5=4995572e512eb3834d233ccb8f2994df","Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Khoo Teck Puat Hospital, Singapore City, Singapore","Raza, Fahd Ali, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Darshan Singh, Abtar K., Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Kovilpillai, Jonathan Jeevan Strinivas, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Hamdan, Analisa, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Rajaratnam, Vaikunthan, Khoo Teck Puat Hospital, Singapore City, Singapore","ASEAN; Assessment Validity; Content Accuracy; Ethical Challenges; Generative AI in Education","Lectito","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024553753"
"Benammi, D.; Jaouhar, S.; Saadi, R.; Toujami, Z.; El Bouazzi, O.; Oumokhtar, B.","Benammi, D. (58770148100); Jaouhar, Samira (57217857641); Saadi, Radouane (59681791700); Toujami, Zainab (58535398600); El Bouazzi, Omaima (57191956765); Oumokhtar, Bouchra (25924486700)","58770148100; 57217857641; 59681791700; 58535398600; 57191956765; 25924486700","The use of artificial intelligence and stress management among health students: A correlational study in a Moroccan higher education context","2025","Multidisciplinary Science Journal","8","1","e2026106","1","9","0","10.31893/multiscience.2026106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019071250&doi=10.31893%2Fmultiscience.2026106&partnerID=40&md5=a5d58fafd168f4a34a50a7cd86433aae","Human Pathology, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Annex Meknes, Regional Health Directorate, Meknes, Morocco; Laboratory of Health Sciences and Technologies, Université Hassan 1er, Settat, Casablanca-Settat, Morocco; Laboratory of Microbial Biotechnology and Bioactive Molecules, Faculté des Sciences et Techniques de Fès, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Sociology and Psychology Laboratory, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco","Benammi, D., Human Pathology, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco, Annex Meknes, Regional Health Directorate, Meknes, Morocco; Jaouhar, Samira, Annex Meknes, Regional Health Directorate, Meknes, Morocco, Laboratory of Health Sciences and Technologies, Université Hassan 1er, Settat, Casablanca-Settat, Morocco, Laboratory of Microbial Biotechnology and Bioactive Molecules, Faculté des Sciences et Techniques de Fès, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Saadi, Radouane, Annex Meknes, Regional Health Directorate, Meknes, Morocco, Sociology and Psychology Laboratory, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Toujami, Zainab, Annex Meknes, Regional Health Directorate, Meknes, Morocco; El Bouazzi, Omaima, Annex Meknes, Regional Health Directorate, Meknes, Morocco, Laboratory of Health Sciences and Technologies, Université Hassan 1er, Settat, Casablanca-Settat, Morocco; Oumokhtar, Bouchra, Human Pathology, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco","academic stress; artificial intelligence; educational technologies; ISPITS Meknes; midwifery students; nursing students","Malque Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105019071250"
"Tran, P.-H.T.; La, T.-P.; Do, H.-T.T.; Nguyen, H.-T.","Tran, Phuong Hanh Thi (60127715300); La, Thuyphuong (57211001664); Do, Huong Thu Thi (60127273800); Nguyen, Hien Thi (60126976200)","60127715300; 57211001664; 60127273800; 60126976200","Developing informative writing competence in the education of literature pedagogy students in Vietnam","2025","Journal of Asian Scientific Research","15","3","","639","656","0","10.55493/5003.v15i3.5618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017899973&doi=10.55493%2F5003.v15i3.5618&partnerID=40&md5=9e2c627e37f1a119fbe0f8bfde989424","Hanoi Pedagogical University 2, Hanoi, Vinh Phuc, Viet Nam; Vietnam National University, Hanoi, Hanoi, Viet Nam","Tran, Phuong Hanh Thi, Hanoi Pedagogical University 2, Hanoi, Vinh Phuc, Viet Nam; La, Thuyphuong, Vietnam National University, Hanoi, Hanoi, Viet Nam; Do, Huong Thu Thi, Hanoi Pedagogical University 2, Hanoi, Vinh Phuc, Viet Nam; Nguyen, Hien Thi, Hanoi Pedagogical University 2, Hanoi, Vinh Phuc, Viet Nam","AI in education; competence; Curriculum innovation; Development of writing; Informational texts; Metacognitive strategies; Pedagogy students; Vietnamese language; Writing competence","Asian Economic and Social Society","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105017899973"
"Arribas, C.M.; Gertrudix, M.; Arcos, R.","Arribas, Cristina M. (57966828500); Gertrudix, Manuel (57773011100); Arcos, Rubén (55613396200)","57966828500; 57773011100; 55613396200","Preventive Strategies Against Disinformation: A Study on Digital and Information Literacy Activities Led by Fact-Checking Organisations","2025","Open Research Europe","5","","122","","","0","10.12688/openreseurope.20160.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016879329&doi=10.12688%2Fopenreseurope.20160.1&partnerID=40&md5=f9d839866c68718050e586eb5124bc6b","Department of Audiovisual Communication and Advertising, Universidad Rey Juan Carlos, Madrid, Madrid, Spain","Arribas, Cristina M., Department of Audiovisual Communication and Advertising, Universidad Rey Juan Carlos, Madrid, Madrid, Spain; Gertrudix, Manuel, Department of Audiovisual Communication and Advertising, Universidad Rey Juan Carlos, Madrid, Madrid, Spain; Arcos, Rubén, Department of Audiovisual Communication and Advertising, Universidad Rey Juan Carlos, Madrid, Madrid, Spain","digital literacy; Disinformation; fact-checking; Foreign Information and Manipulation Interference; media literacy","F1000 Research Ltd","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105016879329"
"Lara, D.L.L.; Bumbila, I.A.C.; Tuarez, V.A.L.; Leones, R.M.M.; Martínez, R.I.P.","Lara, Daniela Lorena Loor (60110506300); Bumbila, Irving Andrés Cevallos (60110411400); Tuarez, Víctor Andrés López (60110364400); Leones, Rosa Marina Mera (60110222600); Martínez, Roberth Israel Ponce (60110222700)","60110506300; 60110411400; 60110364400; 60110222600; 60110222700","The role of Artificial Intelligence in modifying research practices in the social sciences of Ecuador; El rol de la Inteligencia Artificial en la modificación de las prácticas investigativas de las ciencias sociales de Ecuador","2025","Salud, Ciencia y Tecnologia","5","","2185","","","0","10.56294/saludcyt20252185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016808729&doi=10.56294%2Fsaludcyt20252185&partnerID=40&md5=ce85dfda9cd626db5ef38d99529c4f73","Facultad de Ciencias Humanísticas y Sociales, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Dirección de Comunicación, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Dirección de Investigación, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Instituto de Lenguas Modernas, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador","Lara, Daniela Lorena Loor, Facultad de Ciencias Humanísticas y Sociales, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Bumbila, Irving Andrés Cevallos, Dirección de Comunicación, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Tuarez, Víctor Andrés López, Dirección de Investigación, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Leones, Rosa Marina Mera, Facultad de Ciencias Humanísticas y Sociales, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador; Martínez, Roberth Israel Ponce, Instituto de Lenguas Modernas, Universidad Técnica de Manabí, Portoviejo, Manabi, Ecuador","Artificial Intelligence; Ecuador; Higher Education; Qualitative Research; Social Sciences","AG Editor (Argentina)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016808729"
"Pireci Sejdiu, N.; Sejdiu, S.","Pireci Sejdiu, Nora (57848675000); Sejdiu, Sejdi (56528386600)","57848675000; 56528386600","The quiet transformation of higher education in the AI era","2025","Open Research Europe","5","","249","","","0","10.12688/openreseurope.20715.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016725069&doi=10.12688%2Fopenreseurope.20715.1&partnerID=40&md5=3e543d7f7fb421e1130e876d50802617","Department of Computer Science, Universiteti i Prishtinës, Pristina, Pristina, Serbia; Department of English Language and Literature, Universiteti i Prizrenit, Prizren, Serbia","Pireci Sejdiu, Nora, Department of Computer Science, Universiteti i Prishtinës, Pristina, Pristina, Serbia; Sejdiu, Sejdi, Department of English Language and Literature, Universiteti i Prizrenit, Prizren, Serbia","academic integrity; AI ethics; algorithmic literacy; assessment innovation; ChatGP; digital inequality; digital pedagogy; educational policy; Generative Artificial Intelligence (GenAI); higher education","F1000 Research Ltd","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105016725069"
"Rama, A.; Jalinus, N.; Anwar, M.; Ifdil, I.; Lofandri, W.","Rama, Alzet (59230669500); Jalinus, N. (57202285594); Anwar, Muhammad (57217715818); Ifdil, Ifdil (57204652649); Lofandri, Wiki (58664050100)","59230669500; 57202285594; 57217715818; 57204652649; 58664050100","VocScholar: An AI-Powered Vocational Research Discovery Engine with Semantic Relevance Scoring and Dynamic Taxonomy Mapping; VocScholar: un motor de descubrimiento de investigación vocacional impulsado por IA con puntuación de relevancia semántica y mapeo dinámico de taxonomías","2025","Salud, Ciencia y Tecnologia","5","","2050","","","0","10.56294/saludcyt20252050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016207751&doi=10.56294%2Fsaludcyt20252050&partnerID=40&md5=10f27f6f15ed4b1750e2524c7380ca12","Universitas Negeri Padang, Padang, West Sumatra, Indonesia; and Human Behavior, Universitas Negeri Padang, Padang, West Sumatra, Indonesia; Universitas Negeri Padang, Padang, West Sumatra, Indonesia","Rama, Alzet, Universitas Negeri Padang, Padang, West Sumatra, Indonesia; Jalinus, N., Universitas Negeri Padang, Padang, West Sumatra, Indonesia; Anwar, Muhammad, Universitas Negeri Padang, Padang, West Sumatra, Indonesia; Ifdil, Ifdil, and Human Behavior, Universitas Negeri Padang, Padang, West Sumatra, Indonesia; Lofandri, Wiki, Universitas Negeri Padang, Padang, West Sumatra, Indonesia","AI in Education; Journal Indexing; Relevance Score; Semantic Search; TVET Research; Vocational Education","AG Editor (Argentina)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016207751"
"Pamungkas, R.; Suwono, H.; Ibrohim, I.","Pamungkas, Rahmania (57214358913); Suwono, Hadi (57190285642); Ibrohim, Ibrohim (57191815729)","57214358913; 57190285642; 57191815729","Student Literacy for Shifting from Digital to AI literacy: Mapping Domains, Indicators, and Gender Differences; Preparación Estudiantil para la Transición de la Alfabetización Digital a la Alfabetización en Inteligencia Artificial: Un Análisis de Dominios, Indicadores y Diferencias de Género","2025","Salud, Ciencia y Tecnologia","5","","1976","","","0","10.56294/saludcyt20251976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014102429&doi=10.56294%2Fsaludcyt20251976&partnerID=40&md5=436578b5928684731172e61d1f2e545a","Department of Biology, Universitas Negeri Malang, Malang, East Java, Indonesia; Department of Biology, Universitas Negeri Yogyakarta, Yogyakarta, Yogyakarta, Indonesia","Pamungkas, Rahmania, Department of Biology, Universitas Negeri Malang, Malang, East Java, Indonesia, Department of Biology, Universitas Negeri Yogyakarta, Yogyakarta, Yogyakarta, Indonesia; Suwono, Hadi, Department of Biology, Universitas Negeri Malang, Malang, East Java, Indonesia; Ibrohim, Ibrohim, Department of Biology, Universitas Negeri Malang, Malang, East Java, Indonesia","Adolescents; AI Literacy; Artificial Intelligence Literacy; Digital Literacy; Gender Differences","AG Editor (Argentina)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014102429"
"Liu, Y.; Zhang, Y.","Liu, Yunlai (58022843000); Zhang, Yuwei (60017539100)","58022843000; 60017539100","Research on University Teachers’ Perceptions of Gen-AI From the Perspective of Actor-Network Theory","2025","Complexity","2025","1","8885265","","","0","10.1155/cplx/8885265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011819052&doi=10.1155%2Fcplx%2F8885265&partnerID=40&md5=e16951ace83892d53ba3f43b65885393","School of Medicine, Anqing Normal University, Anqing, Anhui, China","Liu, Yunlai, School of Medicine, Anqing Normal University, Anqing, Anhui, China; Zhang, Yuwei, School of Medicine, Anqing Normal University, Anqing, Anhui, China","Actor-Network Theory; generative artificial intelligence; human-machine interaction; role perception; university educators","John Wiley and Sons Inc","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011819052"
